,authors,ArticleTitle,journal_title,volume,date,pubmed,doi_pii_str,abstract
0,"YF. Kong, WL. Sha, XB. Wu, LX. Zhao, LJ. Ma and YJ. Gao, ","""CXCL10/CXCR3 Signaling in the DRG Exacerbates Neuropathic Pain in Mice."", ",Neuroscience bulletin ,37(3) ,(Mar. 2021). ,PUBMED: 33196963; ,DOI 10.1007/s12264-020-00608-1.,"Chemokines and receptors have been implicated in the pathogenesis of chronic pain. Here, we report that spinal nerve ligation (SNL) increased CXCR3 expression in dorsal root ganglion (DRG) neurons, and intra-DRG injection of Cxcr3 shRNA attenuated the SNL-induced mechanical allodynia and heat hyperalgesia. SNL also increased the mRNA levels of CXCL9, CXCL10, and CXCL11, whereas only CXCL10 increased the number of action potentials (APs) in DRG neurons. Furthermore, in Cxcr3-/- mice, CXCL10 did not increase the number of APs, and the SNL-induced increase of the numbers of APs in DRG neurons was reduced. Finally, CXCL10 induced the activation of p38 and ERK in ND7-23 neuronal cells and DRG neurons. Pretreatment of DRG neurons with the P38 inhibitor SB203580 decreased the number of APs induced by CXCL10. Our data indicate that CXCR3, activated by CXCL10, mediates p38 and ERK activation in DRG neurons and enhances neuronal excitability, which contributes to the maintenance of neuropathic pain."
1,"YT. Wu, YN. Lin, CT. Cheng, CY. Fu, CH. Liao and CH. Hsieh, ","""Diagnosis-Related Group (DRG)-Based Prospective Hospital Payment System can be well adopted for Acute Care Surgery: Taiwanese Experience with Acute Cholecystitis."", ",World journal of surgery ,45(4) ,(Apr. 2021). ,PUBMED: 33454793; ,DOI 10.1007/s00268-020-05904-5.,"Laparoscopic cholecystectomy (LC) is a common procedure for cholelithiasis paid by diagnostic-related groups (DRGs) systems. However, acute cholecystitis (AC) patients usually have heterogeneous conditions that compromise the successful implementation of DRGs. We evaluated the quality/efficiency of treating AC patients under the DRG system in Taiwan."
2,"R. Sheaff, V. Morando, N. Chambers, M. Exworthy, A. Mahon, R. Byng and R. Mannion, ","""Managerial workarounds in three European DRG systems."", ",Journal of health organization and management ,34(3) ,(Feb. 2020). ,PUBMED: 32364346; ,DOI 10.1108/JHOM-10-2019-0295.,"Attempts to transform health systems have in many countries involved starting to pay healthcare providers through a DRG system, but that has involved managerial workarounds. Managerial workarounds have seldom been analysed. This paper does so by extending and modifying existing knowledge of the causes and character of clinical and IT workarounds, to produce a conceptualisation of the managerial workaround. It further develops and revises this conceptualisation by comparing the practical management, at both provider and purchaser levels, of hospital DRG payment systems in England, Germany and Italy."
3,"SM. Falowski, KR. Conti and AY. Mogilner, ","""Analysis of S1 DRG Programming to Determine Location of the DRG and Ideal Anatomic Positioning of the Electrode."", ",Neuromodulation : journal of the International Neuromodulation Society ,23(2) ,(Feb. 2020). ,PUBMED: 31475769; ,DOI 10.1111/ner.13039.,Dorsal root ganglion (DRG) stimulation has been established as a therapy in the treatment of chronic pain. Ideal electrode placement is guided by proper identification of the location of the DRG. The location of the S1 DRG is not well delineated and can be variable making ideal location of the electrode placement difficult based on fluoroscopic imaging.
4,"AT. Malik, FM. Phillips, E. Yu and SN. Khan, ","""Are current DRG-based bundled payment models for lumbar fusions risk-adjusting adequately? An analysis of Medicare beneficiaries."", ",The spine journal : official journal of the North American Spine Society ,20(1) ,(Jan. 2020). ,PUBMED: 31125696; ,DOI 10.1016/j.spinee.2019.04.024.,"Current bundled payment programs in spine surgery, such as the bundled payment for care improvement rely on the use of diagnosis-related groups (DRG) to define payments. However, these DRGs may not be adequate enough to appropriately capture the large amount of variation seen in spine procedures. For example, DRG 459 (spinal fusion except cervical with major comorbidity or complication) and DRG 460 (spinal fusion except cervical without major comorbidity or complication) do not differentiate between the type of fusion (anterior or posterior), the levels/extent of fusion, the use of interbody/graft/BMP, indication of surgery (primary vs. revision) or even if the surgery was being performed for a vertebral fracture."
5,"O. Al-Khalil, F. Valeri, O. Senn, T. Rosemann and S. Di Gangi, ","""Effects of a DRG-based hospital reimbursement on the health care utilization and costs in Swiss primary care: A retrospective ""quasi-experimental"" analysis."", ",PloS one ,15(10) ,(2020). ,PUBMED: 33108373; ,DOI 10.1371/journal.pone.0241179.,"In Switzerland, a nationwide Swiss Diagnosis related Groups (Swiss DRG) system for hospital reimbursement was introduced in 2012. However, the impact of DRG systems on primary care is still unclear with respect to number of consultations and costs. The aim of this study was to investigate the effect of the implementation of DRG on costs and volumes in the primary care sector, on a nationwide basis in Switzerland."
6,"L. Chen, C. Leng, Q. Ru, Q. Xiong, M. Zhou and Y. Wu, ","""Retrograde Labeling of Different Distribution Features of DRG P2X2 and P2X3 Receptors in a Neuropathic Pain Rat Model."", ",BioMed research international ,2020 ,(2020). ,PUBMED: 32775458; ,DOI 10.1155/2020/9861459.,"The distributions of P2X subtypes during peripheral neuropathic pain conditions and their differential roles are not fully understood. To explore these characteristics, the lumbosacral dorsal root ganglion (DRG) in the chronic constriction injury (CCI) sciatic nerve rat model was studied. Retrograde trace labeling combined with immunofluorescence technology was applied to analyze the distribution of neuropathic nociceptive P2X1-6 receptors. Our results suggest that Fluoro-Gold (FG) retrograde trace labeling is an efficient method for studying lumbosacral DRG neurons in the CCI rat model, especially when the DRG neurons are divided into small, medium, and large subgroups. We found that neuropathic nociceptive lumbosacral DRG neurons (i.e., FG-positive cells) were significantly increased in medium DRG neurons, while they declined in the large DRG neurons in the CCI group. P2X3 receptors were markedly upregulated in medium while P2X2 receptors were significantly decreased in small FG-positive DRG neurons. There were no significant changes in other P2X receptors (including P2X1, P2X4, P2X5, and P2X6). We anticipate that P2X receptors modulate nociceptive sensitivity primarily through P2X3 subtypes that are upregulated in medium neuropathic nociceptive DRG neurons and/or via the downregulation of P2X2 cells in neuropathic nociceptive small DRG neurons."
7,"V. Jeevakumar, AK. Al Sardar, F. Mohamed, CM. Smithhart, T. Price and G. Dussor, ","""IL-6 induced upregulation of T-type Ca2+ currents and sensitization of DRG nociceptors is attenuated by MNK inhibition."", ",Journal of neurophysiology ,124(1) ,(Jul. 2020). ,PUBMED: 32519575; ,DOI 10.1152/jn.00188.2020.,"Phosphorylation of the 5' cap-binding protein eIF4E by MAPK-interacting kinases (MNK1/2) is important for nociceptor sensitization and the development of chronic pain. IL-6-induced dorsal root ganglion (DRG) nociceptor excitability is attenuated in mice lacking eIF4E phosphorylation, in MNK1/2-/- mice, and by the nonselective MNK1/2 inhibitor cercosporamide. Here, we sought to better understand the neurophysiological mechanisms underlying how IL-6 causes nociceptor excitability via MNK-eIF4E signaling using the highly selective MNK inhibitor eFT508. DRG neurons were cultured from male and female ICR mice, 4-7 wk old. DRG cultures were treated with vehicle, IL-6, eFT508 (pretreat) followed by IL-6, or eFT508 alone. Whole cell patch-clamp recordings were done on small-diameter neurons (20-30 pF) to measure membrane excitability in response to ramp depolarization. IL-6 treatment (1 h) resulted in increased action potential firing compared with vehicle at all ramp intensities, an effect that was blocked by pretreatment with eFT508. Basic membrane properties, including resting membrane potential, input resistance, and rheobase, were similar across groups. Latency to the first action potential in the ramp protocol was lower in the IL-6 group and rescued by eFT508 pretreatment. We also found that the amplitudes of T-type voltage-gated calcium channels (VGCCs) were increased in the DRG following IL-6 treatment, but not in the eFT508 cotreatment group. Our findings are consistent with a model wherein MNK-eIF4E signaling controls the translation of signaling factors that regulate T-type VGCCs in response to IL-6 treatment. Inhibition of MNK with eFT508 disrupts these events, thereby preventing nociceptor hyperexcitability.NEW & NOTEWORTHY In this study, we show that the MNK inhibitor and anti-tumor agent eFT508 (tomivosertib) is effective in attenuating IL-6 induced sensitization of dorsal root ganglion (DRG) nociceptors. Pretreatment with eFT508 in DRG cultures from mice helps mitigate the development of hyperexcitability in response to IL-6. Furthermore, our data reveal that the upregulation of T-type voltage-gated calcium channels following IL-6 application can be blocked by eFT508, implicating the MNK-eIF4E signaling pathway in membrane trafficking of ion channels."
8,"VA. Martínez-Rojas, AB. Salinas-Abarca, NL. Gómez-Víquez, V. Granados-Soto, F. Mercado and J. Murbartián, ","""Interaction of NHE1 and TRPA1 Activity in DRG Neurons Isolated from Adult Rats and its Role in Inflammatory Nociception."", ",Neuroscience ,465 ,(May. 2021). ,PUBMED: 33957206; ,DOI 10.1016/j.neuroscience.2021.04.025.,"Transient receptor potential ankyrin 1 (TRPA1) channel is expressed in a subset of nociceptive neurons. This channel integrates several nociceptive signals. Particularly, it is modulated by intracellular pH (pHi). Na+/H+ exchanger 1 (NHE1) contributes to the maintenance of pHi in nociceptors. However, it is currently unknown whether the interaction between TRPA1 and NHE1 contributes to the nociceptive processing. Thus, the purpose of this study was to assess the functional interaction between NHE1 and TRPA1 in small dorsal root ganglion (DRG) neurons from primary culture obtained from adult rats. Moreover, we also evaluated their possible interaction in acute and inflammatory pain. Zoniporide (selective NHE1 inhibitor) reduced pHi and increased intracellular calcium in a concentration-dependent fashion in DRG neurons. Zoniporide and allyl isothiocyanate (AITC, TRPA1 agonist) increased calcium transients in the same DRG neuron, whereas that A-967079 (TRPA1 antagonist) prevented the effect of zoniporide in DRG neurons. Repeated AITC induced TRPA1 desensitization and this effect was prevented by zoniporide. Both NHE1 and TRPA1 were localized at the membrane surface of DRG neurons in culture. Local peripheral zoniporide enhanced AITC-induced pronociception and this effect was prevented by A-967079. Likewise, zoniporide potentiated Complete Freund's Adjuvant (CFA)-induced hypersensitivity, effect which was prevented by A-967079 in vivo. CFA paw injection increased TRPA1 and decresed NHE1 protein expression in DRG. These results suggest a functional interaction between NHE1 and TRPA1 in DRG neurons in vitro. Moreover, data suggest that this interaction participates in acute and inflamatory pain conditions in vivo."
9,"P. Panagiotopoulos, N. Maniadakis, G. Papatheodoridis and D. Pektasidis, ","""An Evaluation of Diagnosis-Related Group (DRG) Implementation Focused on Cancer DRGs in Greek Public Hospitals."", ",PharmacoEconomics - open ,4(1) ,(Mar. 2020). ,PUBMED: 31111448; ,DOI 10.1007/s41669-019-0146-z.,"The main aims of this study were to evaluate the Greek version of the diagnosis-related group reimbursement system (KEN-DRG) and to compare the KEN-DRG prices with the average actual cost of each group of study cases. Along with other aspects, the differences between the KEN-DRG average length of stay (ALOS) and the actual ALOS was evaluated in selected cases."
